Time (sec)	Voltage (V)	Temp [C]
0	1.37	25.44
1	1.37	25.49
2	1.37	25.64
3	1.37	25.93
4	1.37	26.28
5	1.37	26.62
6	1.37	27.01
7	1.37	27.45
8	1.37	27.9
9	1.37	28.34
10	1.37	28.78
11	1.37	29.17
12	1.37	29.61
13	1.37	30.01
14	1.37	30.45
15	1.37	30.84
16	1.37	31.23
17	1.37	31.58
18	1.37	31.92
19	1.37	32.26
20	1.37	32.61
21	1.37	32.95
22	1.37	33.24
23	1.37	33.54
24	1.37	33.83
25	1.37	34.08
26	1.37	34.37
27	1.37	34.67
28	1.37	34.91
29	1.37	35.16
30	1.37	35.4
31	1.37	35.6
32	1.37	35.84
33	1.37	36.09
34	1.37	36.29
35	1.37	36.48
36	1.37	36.68
37	1.37	36.88
38	1.37	37.02
39	1.37	37.22
40	1.37	37.42
41	1.37	37.56
42	1.37	37.71
43	1.37	37.86
44	1.37	38
45	1.37	38.2
46	1.37	38.35
47	1.37	38.45
48	1.37	38.59
49	1.37	38.74
50	1.37	38.84
51	1.37	38.99
52	1.37	39.13
53	1.37	39.23
54	1.37	39.33
55	1.37	39.48
56	1.37	39.57
57	1.37	39.67
58	1.37	39.77
59	1.37	39.92
60	1.37	40.02
61	1.37	40.11
62	1.37	40.21
63	1.37	40.31
64	1.37	40.41
65	1.37	40.51
66	1.37	40.6
67	1.37	40.7
68	1.37	40.75
69	1.37	40.85
70	1.37	40.95
71	1.37	41.05
72	1.37	41.1
73	1.37	41.14
74	1.37	41.24
75	1.37	41.29
76	1.37	41.39
77	1.37	41.44
78	1.37	41.54
79	1.37	41.54
80	1.37	41.64
81	1.37	41.68
82	1.37	41.73
83	1.37	41.83
84	1.37	41.88
85	1.37	41.93
86	1.37	41.98
87	1.37	42.03
88	1.37	42.13
89	1.37	42.18
90	1.37	42.22
91	1.37	42.27
92	1.37	42.32
93	1.37	42.37
94	1.37	42.42
95	1.37	42.42
96	1.37	42.52
97	1.37	42.57
98	1.37	42.62
99	1.37	42.67
100	1.37	42.67
101	1.37	42.76
102	1.37	42.76
103	1.37	42.81
104	1.37	42.86
105	1.37	42.91
106	1.37	42.96
107	1.37	42.96
108	1.37	43.01
109	1.37	43.06
110	1.37	43.11
111	1.37	43.16
112	1.37	43.16
113	1.37	43.21
114	1.37	43.25
115	1.37	43.25
116	1.37	43.35
117	1.37	43.35
118	1.37	43.4
119	1.37	43.4
120	1.37	43.45
121	1.37	43.5
122	1.37	43.5
123	1.37	43.55
124	1.37	43.55
125	1.37	43.65
126	1.37	43.65
127	1.37	43.7
128	1.37	43.7
129	1.37	43.75
130	1.37	43.75
131	1.37	43.79
132	1.37	43.84
133	1.37	43.84
134	1.37	43.89
135	1.37	43.89
136	1.37	43.89
137	1.37	43.94
138	1.37	43.99
139	1.37	43.99
140	1.37	43.99
141	1.37	44.04
142	1.37	44.09
143	1.37	44.09
144	1.37	44.09
145	1.37	44.14
146	1.37	44.14
147	1.37	44.19
148	1.37	44.19
149	1.37	44.24
150	1.37	44.24
151	1.37	44.24
152	1.37	44.29
153	1.37	44.29
154	1.37	44.29
155	1.37	44.33
156	1.37	44.33
157	1.37	44.33
158	1.37	44.38
159	1.37	44.38
160	1.37	44.38
161	1.37	44.43
162	1.37	44.38
163	1.37	44.43
164	1.37	44.48
165	1.37	44.48
166	1.37	44.48
167	1.37	44.53
168	1.37	44.53
169	1.37	44.53
170	1.37	44.53
171	1.37	44.53
172	1.37	44.58
173	1.37	44.58
174	1.37	44.63
175	1.37	44.63
176	1.37	44.68
177	1.37	44.63
178	1.37	44.68
179	1.37	44.68
180	1.37	44.73
181	1.37	44.73
182	1.37	44.73
183	1.37	44.73
184	1.37	44.73
185	1.37	44.78
186	1.37	44.78
187	1.37	44.78
188	1.37	44.78
189	1.37	44.78
190	1.37	44.83
191	1.37	44.83
192	1.37	44.83
193	1.37	44.83
194	1.37	44.83
195	1.37	44.87
196	1.37	44.87
197	1.37	44.92
198	1.37	44.92
199	1.37	44.92
200	1.37	44.92
201	1.37	44.92
202	1.37	44.92
203	1.37	44.97
204	1.37	44.97
205	1.37	44.97
206	1.37	44.97
207	1.37	44.97
208	1.37	44.97
209	1.37	45.02
210	1.37	45.02
211	1.37	44.97
212	1.37	45.02
213	1.37	45.02
214	1.37	45.02
215	1.37	45.07
216	1.37	45.07
217	1.37	45.07
218	1.37	45.07
219	1.37	45.07
220	1.37	45.12
221	1.37	45.12
222	1.37	45.12
223	1.37	45.12
224	1.37	45.12
225	1.37	45.12
226	1.37	45.12
227	1.37	45.17
228	1.37	45.17
229	1.37	45.17
230	1.37	45.17
231	1.37	45.22
232	1.37	45.22
233	1.37	45.22
234	1.37	45.22
235	1.37	45.22
236	1.37	45.22
237	1.37	45.22
238	1.37	45.22
239	1.37	45.27
240	1.37	45.27
241	1.37	45.27
242	1.37	45.27
243	1.37	45.32
244	1.37	45.32
245	1.37	45.32
246	1.37	45.32
247	1.37	45.32
248	1.37	45.32
249	1.37	45.32
250	1.37	45.32
251	1.37	45.36
252	1.37	45.36
253	1.37	45.36
254	1.37	45.36
255	1.37	45.36
256	1.37	45.41
257	1.37	45.36
258	1.37	45.41
259	1.37	45.36
260	1.37	45.41
261	1.37	45.41
262	1.37	45.41
263	1.37	45.41
264	1.37	45.41
265	1.37	45.46
266	1.37	45.41
267	1.37	45.46
268	1.37	45.46
269	1.37	45.46
270	1.37	45.46
271	1.37	45.46
272	1.37	45.51
273	1.37	45.51
274	1.37	45.51
275	1.37	45.51
276	1.37	45.51
277	1.37	45.51
278	1.37	45.51
279	1.37	45.51
280	1.37	45.51
281	1.37	45.51
282	1.37	45.56
283	1.37	45.56
284	1.37	45.56
285	1.37	45.51
286	1.37	45.56
287	1.37	45.56
288	1.37	45.56
289	1.37	45.56
290	1.37	45.56
291	1.37	45.56
292	1.37	45.56
293	1.37	45.61
294	1.37	45.56
295	1.37	45.56
296	1.37	45.61
297	1.37	45.56
298	1.37	45.61
299	1.37	45.61
