Time	Voltage	Temp [C]
0	1.96	24.75
1	1.96	24.8
2	1.96	25.1
3	1.96	25.49
4	1.96	25.98
5	1.96	26.52
6	1.96	27.11
7	1.96	27.7
8	1.96	28.29
9	1.96	28.93
10	1.96	29.51
11	1.96	30.1
12	1.96	30.64
13	1.96	31.18
14	1.96	31.72
15	1.96	32.26
16	1.96	32.75
17	1.96	33.2
18	1.96	33.69
19	1.96	34.08
20	1.96	34.47
21	1.96	34.91
22	1.96	35.26
23	1.96	35.6
24	1.96	35.94
25	1.96	36.29
26	1.96	36.63
27	1.96	36.92
28	1.96	37.22
29	1.96	37.51
30	1.96	37.76
31	1.96	38
32	1.96	38.25
33	1.96	38.49
34	1.96	38.74
35	1.96	38.94
36	1.96	39.18
37	1.96	39.38
38	1.96	39.57
39	1.96	39.72
40	1.96	39.92
41	1.96	40.11
42	1.96	40.31
43	1.96	40.46
44	1.96	40.6
45	1.96	40.75
46	1.96	40.9
47	1.96	41.05
48	1.96	41.19
49	1.96	41.34
50	1.96	41.44
51	1.96	41.59
52	1.96	41.68
53	1.96	41.83
54	1.96	41.98
55	1.96	42.08
56	1.96	42.18
57	1.96	42.27
58	1.96	42.37
59	1.96	42.47
60	1.96	42.62
61	1.96	42.67
62	1.96	42.76
63	1.96	42.81
64	1.96	42.96
65	1.96	43.01
66	1.96	43.11
67	1.96	43.21
68	1.96	43.25
69	1.96	43.35
70	1.96	43.4
71	1.96	43.45
72	1.96	43.55
73	1.96	43.6
74	1.96	43.7
75	1.96	43.75
76	1.96	43.79
77	1.96	43.84
78	1.96	43.94
79	1.96	43.99
80	1.96	44.04
81	1.96	44.09
82	1.96	44.19
83	1.96	44.24
84	1.96	44.24
85	1.96	44.33
86	1.96	44.38
87	1.96	44.43
88	1.96	44.43
89	1.96	44.53
90	1.96	44.58
91	1.96	44.63
92	1.96	44.68
93	1.96	44.68
94	1.96	44.73
95	1.96	44.78
96	1.96	44.83
97	1.96	44.83
98	1.96	44.92
99	1.96	44.92
100	1.96	44.97
101	1.96	44.97
102	1.96	45.07
103	1.96	45.07
104	1.96	45.12
105	1.96	45.17
106	1.96	45.22
107	1.96	45.22
108	1.96	45.22
109	1.96	45.27
110	1.96	45.32
111	1.96	45.36
112	1.96	45.36
113	1.96	45.41
114	1.96	45.41
115	1.96	45.46
116	1.96	45.51
117	1.96	45.51
118	1.96	45.51
119	1.96	45.51
120	1.96	45.61
121	1.96	45.61
122	1.96	45.66
123	1.96	45.66
124	1.96	45.71
125	1.96	45.71
126	1.96	45.71
127	1.96	45.76
128	1.96	45.76
129	1.96	45.81
130	1.96	45.81
131	1.96	45.86
132	1.96	45.86
133	1.96	45.86
134	1.96	45.9
135	1.96	45.95
136	1.96	45.95
137	1.96	45.95
138	1.96	45.95
139	1.96	46
140	1.96	45.95
141	1.96	46.05
142	1.96	46.05
143	1.96	46.1
144	1.96	46.05
145	1.96	46.1
146	1.96	46.15
147	1.96	46.15
148	1.96	46.2
149	1.96	46.2
150	1.96	46.2
151	1.96	46.2
152	1.96	46.2
153	1.96	46.25
154	1.96	46.3
155	1.96	46.3
156	1.96	46.3
157	1.96	46.3
158	1.96	46.3
159	1.96	46.3
160	1.96	46.35
161	1.96	46.35
162	1.96	46.35
163	1.96	46.35
164	1.96	46.4
165	1.96	46.4
166	1.96	46.4
167	1.96	46.4
168	1.96	46.44
169	1.96	46.44
170	1.96	46.49
171	1.96	46.49
172	1.96	46.49
173	1.96	46.49
174	1.96	46.49
175	1.96	46.54
176	1.96	46.54
177	1.96	46.54
178	1.96	46.59
179	1.96	46.59
180	1.96	46.59
181	1.96	46.54
182	1.96	46.64
183	1.96	46.64
184	1.96	46.64
185	1.96	46.64
186	1.96	46.64
187	1.96	46.69
188	1.96	46.69
189	1.96	46.69
190	1.96	46.69
191	1.96	46.69
192	1.96	46.74
193	1.96	46.74
194	1.96	46.79
195	1.96	46.79
196	1.96	46.79
197	1.96	46.84
198	1.96	46.84
199	1.96	46.84
200	1.96	46.84
201	1.96	46.84
202	1.96	46.84
203	1.96	46.84
204	1.96	46.84
205	1.96	46.89
206	1.96	46.89
207	1.96	46.89
208	1.96	46.89
209	1.96	46.89
210	1.96	46.94
211	1.96	46.94
212	1.96	46.94
213	1.96	46.94
214	1.96	46.94
215	1.96	46.94
216	1.96	46.94
217	1.96	46.98
218	1.96	46.94
219	1.96	46.94
220	1.96	46.98
221	1.96	46.98
222	1.96	46.98
223	1.96	46.98
224	1.96	46.98
225	1.96	46.98
226	1.96	47.03
227	1.96	47.03
228	1.96	47.03
229	1.96	47.03
230	1.96	47.03
231	1.96	47.03
