Time	Voltage	Temp [C]
232	1.96	47.08
233	1.96	47.03
234	1.96	47.08
235	1.96	47.03
236	1.96	47.03
237	1.96	47.08
238	1.96	47.08
239	1.96	47.08
240	1.96	47.08
241	1.96	47.13
242	1.96	47.08
243	1.96	47.08
244	1.96	47.08
245	1.96	47.08
246	1.96	47.13
247	1.96	47.13
248	1.96	47.13
249	1.96	47.13
250	1.96	47.13
251	1.96	47.13
252	1.96	47.13
253	1.96	47.13
254	1.96	47.13
255	1.96	47.13
256	1.96	47.18
257	1.96	47.18
258	1.96	47.18
259	1.96	47.18
260	1.96	47.18
261	1.96	47.18
262	1.96	47.23
263	1.96	47.18
264	1.96	47.18
265	1.96	47.18
266	1.96	47.18
267	1.96	47.23
268	1.96	47.23
269	1.96	47.28
270	1.96	47.23
271	1.96	47.23
272	1.96	47.23
273	1.96	47.23
274	1.96	47.23
275	1.96	47.28
276	1.96	47.23
277	1.96	47.23
278	1.96	47.23
279	1.96	47.23
280	1.96	47.28
281	1.96	47.28
282	1.96	47.28
283	1.96	47.23
284	1.96	47.28
285	1.96	47.28
286	1.96	47.28
287	1.96	47.28
288	1.96	47.28
289	1.96	47.33
290	1.96	47.28
291	1.96	47.28
292	1.96	47.33
293	1.96	47.33
294	1.96	47.33
295	1.96	47.38
296	1.96	47.33
297	1.96	47.38
298	1.96	47.33
299	1.96	47.33
