Time	Voltage	Temp [C]
0	2.25	23.82
1	2.25	24.21
2	2.25	25.15
3	2.25	26.28
4	2.25	27.45
5	2.25	28.58
6	2.25	29.66
7	2.25	30.69
8	2.25	31.58
9	2.25	32.46
10	2.25	33.24
11	2.25	33.93
12	2.25	34.62
13	2.25	35.21
14	2.25	35.8
15	2.25	36.29
16	2.25	36.78
17	2.25	37.22
18	2.25	37.66
19	2.25	38.05
20	2.25	38.4
21	2.25	38.74
22	2.25	39.08
23	2.25	39.38
24	2.25	39.62
25	2.25	39.92
26	2.25	40.21
27	2.25	40.46
28	2.25	40.65
29	2.25	40.9
30	2.25	41.1
31	2.25	41.24
32	2.25	41.49
33	2.25	41.68
34	2.25	41.83
35	2.25	42.03
36	2.25	42.18
37	2.25	42.37
38	2.25	42.47
39	2.25	42.62
40	2.25	42.76
41	2.25	42.86
42	2.25	43.01
43	2.25	43.16
44	2.25	43.25
45	2.25	43.35
46	2.25	43.45
47	2.25	43.6
48	2.25	43.7
49	2.25	43.75
50	2.25	43.89
51	2.25	43.99
52	2.25	44.04
53	2.25	44.14
54	2.25	44.24
55	2.25	44.33
56	2.25	44.43
57	2.25	44.48
58	2.25	44.53
59	2.25	44.63
60	2.25	44.73
61	2.25	44.73
62	2.25	44.83
63	2.25	44.92
64	2.25	44.92
65	2.25	45.02
66	2.25	45.12
67	2.25	45.12
68	2.25	45.17
69	2.25	45.27
70	2.25	45.32
71	2.25	45.36
72	2.25	45.41
73	2.25	45.41
74	2.25	45.51
75	2.25	45.51
76	2.25	45.56
77	2.25	45.61
78	2.25	45.66
79	2.25	45.71
80	2.25	45.76
81	2.25	45.76
82	2.25	45.86
83	2.25	45.86
84	2.25	45.9
85	2.25	45.95
86	2.25	46
87	2.25	45.95
88	2.25	46.05
89	2.25	46.1
90	2.25	46.1
91	2.25	46.15
92	2.25	46.2
93	2.25	46.25
94	2.25	46.25
95	2.25	46.3
96	2.25	46.3
97	2.25	46.35
98	2.25	46.35
99	2.25	46.4
100	2.25	46.4
101	2.25	46.44
102	2.25	46.49
103	2.25	46.49
104	2.25	46.54
105	2.25	46.54
106	2.25	46.59
107	2.25	46.59
108	2.25	46.59
109	2.25	46.64
110	2.25	46.64
111	2.25	46.69
112	2.25	46.74
113	2.25	46.74
114	2.25	46.79
115	2.25	46.74
116	2.25	46.79
117	2.25	46.79
118	2.25	46.84
119	2.25	46.84
120	2.25	46.89
121	2.25	46.89
122	2.25	46.89
123	2.25	46.94
124	2.25	46.98
125	2.25	46.98
126	2.25	46.98
127	2.25	46.98
128	2.25	46.98
129	2.25	47.03
130	2.25	47.03
131	2.25	47.03
132	2.25	47.03
133	2.25	47.08
134	2.25	47.13
135	2.25	47.08
136	2.25	47.08
137	2.25	47.13
138	2.25	47.13
139	2.25	47.13
140	2.25	47.18
141	2.25	47.23
142	2.25	47.18
143	2.25	47.18
144	2.25	47.23
145	2.25	47.23
146	2.25	47.23
147	2.25	47.28
148	2.25	47.28
149	2.25	47.28
150	2.25	47.28
151	2.25	47.33
152	2.25	47.33
153	2.25	47.38
154	2.25	47.38
155	2.25	47.33
156	2.25	47.38
157	2.25	47.38
