Time	Voltage	Temp [C]
158	2.25	47.38
159	2.25	47.43
160	2.25	47.38
161	2.25	47.38
162	2.25	47.43
163	2.25	47.43
164	2.25	47.43
165	2.25	47.48
166	2.25	47.43
167	2.25	47.48
168	2.25	47.52
169	2.25	47.52
170	2.25	47.52
171	2.25	47.52
172	2.25	47.52
173	2.25	47.57
174	2.25	47.52
175	2.25	47.52
176	2.25	47.52
177	2.25	47.57
178	2.25	47.52
179	2.25	47.57
180	2.25	47.57
181	2.25	47.57
182	2.25	47.62
183	2.25	47.57
184	2.25	47.62
185	2.25	47.57
186	2.25	47.62
187	2.25	47.62
188	2.25	47.62
189	2.25	47.62
190	2.25	47.67
191	2.25	47.67
192	2.25	47.62
193	2.25	47.67
194	2.25	47.67
195	2.25	47.72
196	2.25	47.67
197	2.25	47.67
198	2.25	47.67
199	2.25	47.67
200	2.25	47.72
201	2.25	47.72
202	2.25	47.72
203	2.25	47.72
204	2.25	47.72
205	2.25	47.72
206	2.25	47.72
207	2.25	47.77
208	2.25	47.72
209	2.25	47.72
210	2.25	47.72
211	2.25	47.77
212	2.25	47.72
213	2.25	47.77
214	2.25	47.77
215	2.25	47.72
216	2.25	47.77
217	2.25	47.77
218	2.25	47.77
219	2.25	47.77
220	2.25	47.77
221	2.25	47.77
222	2.25	47.82
223	2.25	47.77
224	2.25	47.77
225	2.25	47.77
226	2.25	47.77
227	2.25	47.82
228	2.25	47.82
229	2.25	47.77
230	2.25	47.82
231	2.25	47.82
232	2.25	47.82
233	2.25	47.82
234	2.25	47.82
235	2.25	47.82
236	2.25	47.82
237	2.25	47.82
238	2.25	47.82
239	2.25	47.87
240	2.25	47.87
241	2.25	47.87
242	2.25	47.82
243	2.25	47.87
244	2.25	47.87
245	2.25	47.87
246	2.25	47.87
247	2.25	47.87
248	2.25	47.82
249	2.25	47.87
250	2.25	47.87
251	2.25	47.87
252	2.25	47.87
253	2.25	47.87
254	2.25	47.82
255	2.25	47.87
256	2.25	47.87
257	2.25	47.87
258	2.25	47.92
259	2.25	47.87
260	2.25	47.87
261	2.25	47.87
262	2.25	47.92
263	2.25	47.87
264	2.25	47.87
265	2.25	47.87
266	2.25	47.87
267	2.25	47.87
268	2.25	47.87
269	2.25	47.87
270	2.25	47.87
271	2.25	47.87
272	2.25	47.87
273	2.25	47.92
274	2.25	47.87
275	2.25	47.87
276	2.25	47.87
277	2.25	47.87
278	2.25	47.87
279	2.25	47.87
280	2.25	47.87
281	2.25	47.87
282	2.25	47.87
283	2.25	47.82
284	2.25	47.87
285	2.25	47.87
286	2.25	47.87
287	2.25	47.87
288	2.25	47.87
289	2.25	47.92
290	2.25	47.87
291	2.25	47.87
292	2.25	47.87
293	2.25	47.87
294	2.25	47.92
295	2.25	47.87
296	2.25	47.87
297	2.25	47.87
298	2.25	47.87
299	2.25	47.87
